"ImageNumber","plate","well","gene","puro","Image_FileNames_Filename_OrigDNA","Image_PathNames_Path_OrigDNA"
144,1,36,"TK1",1,"AS_09125_050116000001_B12f03d0.png","images"
145,1,37,"NME1",1,"AS_09125_050116000001_B13f00d0.png","images"
146,1,37,"NME1",1,"AS_09125_050116000001_B13f01d0.png","images"
147,1,37,"NME1",1,"AS_09125_050116000001_B13f02d0.png","images"
148,1,37,"NME1",1,"AS_09125_050116000001_B13f03d0.png","images"
149,1,38,"TK1",1,"AS_09125_050116000001_B14f00d0.png","images"
150,1,38,"TK1",1,"AS_09125_050116000001_B14f01d0.png","images"
151,1,38,"TK1",1,"AS_09125_050116000001_B14f02d0.png","images"
152,1,38,"TK1",1,"AS_09125_050116000001_B14f03d0.png","images"
153,1,39,"NME1",1,"AS_09125_050116000001_B15f00d0.png","images"
154,1,39,"NME1",1,"AS_09125_050116000001_B15f01d0.png","images"
155,1,39,"NME1",1,"AS_09125_050116000001_B15f02d0.png","images"
156,1,39,"NME1",1,"AS_09125_050116000001_B15f03d0.png","images"
157,1,40,"TK1",1,"AS_09125_050116000001_B16f00d0.png","images"
158,1,40,"TK1",1,"AS_09125_050116000001_B16f01d0.png","images"
159,1,40,"TK1",1,"AS_09125_050116000001_B16f02d0.png","images"
160,1,40,"TK1",1,"AS_09125_050116000001_B16f03d0.png","images"
161,1,41,"NME1",1,"AS_09125_050116000001_B17f00d0.png","images"
162,1,41,"NME1",1,"AS_09125_050116000001_B17f01d0.png","images"
163,1,41,"NME1",1,"AS_09125_050116000001_B17f02d0.png","images"
164,1,41,"NME1",1,"AS_09125_050116000001_B17f03d0.png","images"
165,1,42,"TK1",1,"AS_09125_050116000001_B18f00d0.png","images"
166,1,42,"TK1",1,"AS_09125_050116000001_B18f01d0.png","images"
167,1,42,"TK1",1,"AS_09125_050116000001_B18f02d0.png","images"
168,1,42,"TK1",1,"AS_09125_050116000001_B18f03d0.png","images"
169,1,43,"NME1",1,"AS_09125_050116000001_B19f00d0.png","images"
170,1,43,"NME1",1,"AS_09125_050116000001_B19f01d0.png","images"
171,1,43,"NME1",1,"AS_09125_050116000001_B19f02d0.png","images"
172,1,43,"NME1",1,"AS_09125_050116000001_B19f03d0.png","images"
173,1,44,"TK1",1,"AS_09125_050116000001_B20f00d0.png","images"
174,1,44,"TK1",1,"AS_09125_050116000001_B20f01d0.png","images"
175,1,44,"TK1",1,"AS_09125_050116000001_B20f02d0.png","images"
176,1,44,"TK1",1,"AS_09125_050116000001_B20f03d0.png","images"
177,1,45,"PHKG2",1,"AS_09125_050116000001_B21f00d0.png","images"
178,1,45,"PHKG2",1,"AS_09125_050116000001_B21f01d0.png","images"
179,1,45,"PHKG2",1,"AS_09125_050116000001_B21f02d0.png","images"
180,1,45,"PHKG2",1,"AS_09125_050116000001_B21f03d0.png","images"
181,1,46,"PIP5K1A",1,"AS_09125_050116000001_B22f00d0.png","images"
182,1,46,"PIP5K1A",1,"AS_09125_050116000001_B22f01d0.png","images"
183,1,46,"PIP5K1A",1,"AS_09125_050116000001_B22f02d0.png","images"
184,1,46,"PIP5K1A",1,"AS_09125_050116000001_B22f03d0.png","images"
185,1,47,"PHKG2",1,"AS_09125_050116000001_B23f00d0.png","images"
186,1,47,"PHKG2",1,"AS_09125_050116000001_B23f01d0.png","images"
187,1,47,"PHKG2",1,"AS_09125_050116000001_B23f02d0.png","images"
188,1,47,"PHKG2",1,"AS_09125_050116000001_B23f03d0.png","images"
189,1,48,"PIP5K1A",1,"AS_09125_050116000001_B24f00d0.png","images"
190,1,48,"PIP5K1A",1,"AS_09125_050116000001_B24f01d0.png","images"
191,1,48,"PIP5K1A",1,"AS_09125_050116000001_B24f02d0.png","images"
192,1,48,"PIP5K1A",1,"AS_09125_050116000001_B24f03d0.png","images"
193,1,49,"Gabra2",1,"AS_09125_050116000001_C01f00d0.png","images"
194,1,49,"Gabra2",1,"AS_09125_050116000001_C01f01d0.png","images"
195,1,49,"Gabra2",1,"AS_09125_050116000001_C01f02d0.png","images"
196,1,49,"Gabra2",1,"AS_09125_050116000001_C01f03d0.png","images"
197,1,50,"MAP2K3",1,"AS_09125_050116000001_C02f00d0.png","images"
198,1,50,"MAP2K3",1,"AS_09125_050116000001_C02f01d0.png","images"
199,1,50,"MAP2K3",1,"AS_09125_050116000001_C02f02d0.png","images"
200,1,50,"MAP2K3",1,"AS_09125_050116000001_C02f03d0.png","images"
201,1,51,"Gabra2",1,"AS_09125_050116000001_C03f00d0.png","images"
202,1,51,"Gabra2",1,"AS_09125_050116000001_C03f01d0.png","images"
203,1,51,"Gabra2",1,"AS_09125_050116000001_C03f02d0.png","images"
204,1,51,"Gabra2",1,"AS_09125_050116000001_C03f03d0.png","images"
205,1,52,"MAP2K3",1,"AS_09125_050116000001_C04f00d0.png","images"
206,1,52,"MAP2K3",1,"AS_09125_050116000001_C04f01d0.png","images"
207,1,52,"MAP2K3",1,"AS_09125_050116000001_C04f02d0.png","images"
208,1,52,"MAP2K3",1,"AS_09125_050116000001_C04f03d0.png","images"
209,1,53,"Gabra2",1,"AS_09125_050116000001_C05f00d0.png","images"
210,1,53,"Gabra2",1,"AS_09125_050116000001_C05f01d0.png","images"
211,1,53,"Gabra2",1,"AS_09125_050116000001_C05f02d0.png","images"
212,1,53,"Gabra2",1,"AS_09125_050116000001_C05f03d0.png","images"
213,1,54,"MAP2K3",1,"AS_09125_050116000001_C06f00d0.png","images"
214,1,54,"MAP2K3",1,"AS_09125_050116000001_C06f01d0.png","images"
215,1,54,"MAP2K3",1,"AS_09125_050116000001_C06f02d0.png","images"
216,1,54,"MAP2K3",1,"AS_09125_050116000001_C06f03d0.png","images"
217,1,55,"Gabra1",1,"AS_09125_050116000001_C07f00d0.png","images"
218,1,55,"Gabra1",1,"AS_09125_050116000001_C07f01d0.png","images"
219,1,55,"Gabra1",1,"AS_09125_050116000001_C07f02d0.png","images"
220,1,55,"Gabra1",1,"AS_09125_050116000001_C07f03d0.png","images"
221,1,56,"MAP2K6",1,"AS_09125_050116000001_C08f00d0.png","images"
222,1,56,"MAP2K6",1,"AS_09125_050116000001_C08f01d0.png","images"
223,1,56,"MAP2K6",1,"AS_09125_050116000001_C08f02d0.png","images"
224,1,56,"MAP2K6",1,"AS_09125_050116000001_C08f03d0.png","images"
225,1,57,"Gabra1",1,"AS_09125_050116000001_C09f00d0.png","images"
226,1,57,"Gabra1",1,"AS_09125_050116000001_C09f01d0.png","images"
227,1,57,"Gabra1",1,"AS_09125_050116000001_C09f02d0.png","images"
228,1,57,"Gabra1",1,"AS_09125_050116000001_C09f03d0.png","images"
229,1,58,"MAP2K6",1,"AS_09125_050116000001_C10f00d0.png","images"
230,1,58,"MAP2K6",1,"AS_09125_050116000001_C10f01d0.png","images"
231,1,58,"MAP2K6",1,"AS_09125_050116000001_C10f02d0.png","images"
232,1,58,"MAP2K6",1,"AS_09125_050116000001_C10f03d0.png","images"
233,1,59,"Gabra1",1,"AS_09125_050116000001_C11f00d0.png","images"
234,1,59,"Gabra1",1,"AS_09125_050116000001_C11f01d0.png","images"
235,1,59,"Gabra1",1,"AS_09125_050116000001_C11f02d0.png","images"
236,1,59,"Gabra1",1,"AS_09125_050116000001_C11f03d0.png","images"
237,1,60,"MAP2K6",1,"AS_09125_050116000001_C12f00d0.png","images"
238,1,60,"MAP2K6",1,"AS_09125_050116000001_C12f01d0.png","images"
239,1,60,"MAP2K6",1,"AS_09125_050116000001_C12f02d0.png","images"
240,1,60,"MAP2K6",1,"AS_09125_050116000001_C12f03d0.png","images"
241,1,61,"Gabra1",1,"AS_09125_050116000001_C13f00d0.png","images"
242,1,61,"Gabra1",1,"AS_09125_050116000001_C13f01d0.png","images"
243,1,61,"Gabra1",1,"AS_09125_050116000001_C13f02d0.png","images"
244,1,61,"Gabra1",1,"AS_09125_050116000001_C13f03d0.png","images"
245,1,62,"MAP2K6",1,"AS_09125_050116000001_C14f00d0.png","images"
246,1,62,"MAP2K6",1,"AS_09125_050116000001_C14f01d0.png","images"
247,1,62,"MAP2K6",1,"AS_09125_050116000001_C14f02d0.png","images"
248,1,62,"MAP2K6",1,"AS_09125_050116000001_C14f03d0.png","images"
249,1,63,"Gabra1",1,"AS_09125_050116000001_C15f00d0.png","images"
250,1,63,"Gabra1",1,"AS_09125_050116000001_C15f01d0.png","images"
251,1,63,"Gabra1",1,"AS_09125_050116000001_C15f02d0.png","images"
252,1,63,"Gabra1",1,"AS_09125_050116000001_C15f03d0.png","images"
253,1,64,"MAP2K6",1,"AS_09125_050116000001_C16f00d0.png","images"
254,1,64,"MAP2K6",1,"AS_09125_050116000001_C16f01d0.png","images"
255,1,64,"MAP2K6",1,"AS_09125_050116000001_C16f02d0.png","images"
256,1,64,"MAP2K6",1,"AS_09125_050116000001_C16f03d0.png","images"
257,1,65,"Gpr12",1,"AS_09125_050116000001_C17f00d0.png","images"
258,1,65,"Gpr12",1,"AS_09125_050116000001_C17f01d0.png","images"
259,1,65,"Gpr12",1,"AS_09125_050116000001_C17f02d0.png","images"
260,1,65,"Gpr12",1,"AS_09125_050116000001_C17f03d0.png","images"
261,1,66,"TEC",1,"AS_09125_050116000001_C18f00d0.png","images"
262,1,66,"TEC",1,"AS_09125_050116000001_C18f01d0.png","images"
263,1,66,"TEC",1,"AS_09125_050116000001_C18f02d0.png","images"
264,1,66,"TEC",1,"AS_09125_050116000001_C18f03d0.png","images"
265,1,67,"Gpr12",1,"AS_09125_050116000001_C19f00d0.png","images"
266,1,67,"Gpr12",1,"AS_09125_050116000001_C19f01d0.png","images"
267,1,67,"Gpr12",1,"AS_09125_050116000001_C19f02d0.png","images"
268,1,67,"Gpr12",1,"AS_09125_050116000001_C19f03d0.png","images"
269,1,68,"TEC",1,"AS_09125_050116000001_C20f00d0.png","images"
270,1,68,"TEC",1,"AS_09125_050116000001_C20f01d0.png","images"
271,1,68,"TEC",1,"AS_09125_050116000001_C20f02d0.png","images"
272,1,68,"TEC",1,"AS_09125_050116000001_C20f03d0.png","images"
